# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=15
# for k=1.97552e-07 to 12.4775 h/Mpc,
# number of wavenumbers equal to 140
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
# k (h/Mpc)       d_g                d_b                d_cdm              d_ur               d_tot              t_g                t_b                t_cdm              t_ur               t_tot              
4.2012958304e-01  -3.7771503174e-02  -2.1920013030e+03  -2.3248761657e+03  -3.7764768077e-02  -2.2913607271e+03  -5.3218664866e-08  1.1209884967e+00  1.1239485416e+00  -1.0209314204e-07  1.1160203064e+00
4.3597016398e-01  -3.5717916274e-02  -2.2331103964e+03  -2.3671786790e+03  -3.5711547173e-02  -2.3332556823e+03  -5.0323047854e-08  1.1415172443e+00  1.1444921752e+00  -9.6541509553e-08  1.1364254961e+00
4.5280960879e-01  -3.3675329899e-02  -2.2703634858e+03  -2.4077047284e+03  -3.3669325191e-02  -2.3730394138e+03  -4.7452781816e-08  1.1609512576e+00  1.1640149150e+00  -9.1027057239e-08  1.1558043697e+00
4.7080753825e-01  -3.1675398274e-02  -2.3081126239e+03  -2.4484367441e+03  -3.1669750254e-02  -2.4130760168e+03  -4.4636254699e-08  1.1805214021e+00  1.1836558927e+00  -8.5622199667e-08  1.1753036500e+00
4.9017011247e-01  -2.9773887958e-02  -2.3524276750e+03  -2.4944952081e+03  -2.9768578871e-02  -2.4586173726e+03  -4.1951083607e-08  1.2028301283e+00  1.2059904510e+00  -8.0477425736e-08  1.1974861038e+00
5.1116971824e-01  -2.7889272239e-02  -2.3963501321e+03  -2.5410982186e+03  -2.7884299216e-02  -2.5045457272e+03  -3.9296517737e-08  1.2252972890e+00  1.2285201115e+00  -7.5384154937e-08  1.2198563199e+00
5.3417603087e-01  -2.6020959433e-02  -2.4412345317e+03  -2.5891559486e+03  -2.6016319597e-02  -2.5518401477e+03  -3.6665026541e-08  1.2484242063e+00  1.2517215288e+00  -7.0334854723e-08  1.2428918668e+00
5.5970709656e-01  -2.4185988973e-02  -2.4915275973e+03  -2.6420409942e+03  -2.4181676290e-02  -2.6040339326e+03  -3.4079027811e-08  1.2739724539e+00  1.2773214731e+00  -6.5374793597e-08  1.2683138249e+00
5.8851753150e-01  -2.2335420183e-02  -2.5436782573e+03  -2.6975723224e+03  -2.2331437500e-02  -2.6587305287e+03  -3.1472220041e-08  1.3007244840e+00  1.3041516265e+00  -6.0373284761e-08  1.2949534897e+00
6.2175980605e-01  -2.0475745657e-02  -2.6028853428e+03  -2.7602005765e+03  -2.0472094564e-02  -2.7204820671e+03  -2.8851923560e-08  1.3309417218e+00  1.3344423897e+00  -5.5346742921e-08  1.3250316153e+00
6.6129974048e-01  -1.8559262471e-02  -2.6688143686e+03  -2.8301825301e+03  -1.8555953116e-02  -2.7894463529e+03  -2.6151880026e-08  1.3646801819e+00  1.3682716550e+00  -5.0166815919e-08  1.3586219695e+00
7.1038293135e-01  -1.6545387528e-02  -2.7455560477e+03  -2.9115071067e+03  -1.6542437269e-02  -2.8696092913e+03  -2.3314421033e-08  1.4038996433e+00  1.4075918866e+00  -4.4723512146e-08  1.3976652989e+00
7.7515594957e-01  -1.4378503756e-02  -2.8409482233e+03  -3.0126336170e+03  -1.4375939879e-02  -2.9692854433e+03  -2.0261372712e-08  1.4526677673e+00  1.4564867971e+00  -3.8866613882e-08  1.4462156363e+00
8.6826052719e-01  -1.1960063788e-02  -2.9648960410e+03  -3.1440341908e+03  -1.1957931148e-02  -3.0988011817e+03  -1.6853832981e-08  1.5160321770e+00  1.5200161445e+00  -3.2329716215e-08  1.5092972448e+00
1.0154963928e+00  -9.2550006450e-03  -3.1384364505e+03  -3.3280161416e+03  -9.2533503528e-03  -3.2801429915e+03  -1.3042393707e-08  1.6047538405e+00  1.6089690797e+00  -2.5018034371e-08  1.5976232080e+00
1.2498495999e+00  -6.5593583824e-03  -3.3694725381e+03  -3.5729653638e+03  -6.5581887590e-03  -3.5215752947e+03  -9.2441378654e-09  1.7228694352e+00  1.7273932996e+00  -1.7731718637e-08  1.7152126113e+00
1.5708633179e+00  -4.4718557371e-03  -3.6287232920e+03  -3.8478241706e+03  -4.4710583440e-03  -3.7924884052e+03  -6.3027218718e-09  1.8554108268e+00  1.8602823158e+00  -1.2089146863e-08  1.8471646283e+00
1.9775503954e+00  -3.0265301424e-03  -3.8921805487e+03  -4.1271484232e+03  -3.0259904711e-03  -4.0678019747e+03  -4.2661484127e-09  1.9901014050e+00  1.9953283229e+00  -8.1823687206e-09  1.9812580706e+00
2.4895882626e+00  -2.0399544478e-03  -4.1578623433e+03  -4.4088490191e+03  -2.0395906972e-03  -4.3454549904e+03  -2.8759850997e-09  2.1259330316e+00  2.1315219165e+00  -5.5156060378e-09  2.1164904245e+00
3.1342059286e+00  -1.3700341270e-03  -4.4256992489e+03  -4.6928438418e+03  -1.3697898331e-03  -4.6253678400e+03  -1.9320239454e-09  2.2628645768e+00  2.2688241724e+00  -3.7047865860e-09  2.2528226596e+00
3.9457314893e+00  -9.1678223290e-04  -4.6936544335e+03  -4.9770513666e+03  -9.1661876060e-04  -4.9054767340e+03  -1.2933781381e-09  2.3998828833e+00  2.4062231353e+00  -2.4796443510e-09  2.3892493210e+00
4.9673816400e+00  -6.1191633331e-04  -4.9651794284e+03  -5.2650026793e+03  -6.1180722330e-04  -5.1892820536e+03  -8.6383469972e-10  2.5386944189e+00  2.5454361647e+00  -1.6556113571e-09  2.5274746035e+00
6.2535629766e+00  -4.0717161205e-04  -5.2361142591e+03  -5.5524719997e+03  -4.0709901129e-04  -5.4725899056e+03  -5.7538065552e-10  2.6772381216e+00  2.6844073685e+00  -1.1022216042e-09  2.6654553712e+00
7.8727693455e+00  -2.7027555675e-04  -5.5083538764e+03  -5.8414287637e+03  -2.7022736683e-04  -5.7573476251e+03  -3.8254024976e-10  2.8164500133e+00  2.8240927465e+00  -7.3223973305e-10  2.8041380003e+00
9.9112293903e+00  -1.7896523528e-04  -5.7803620123e+03  -6.1303720060e+03  -1.7893332759e-04  -6.0420558777e+03  -2.5394053727e-10  2.9555699940e+00  2.9637589805e+00  -4.8548525023e-10  2.9427896090e+00
1.2477498542e+01  -1.1823461516e-04  -6.0517841297e+03  -6.4190715488e+03  -1.1821353688e-04  -6.3264650828e+03  -1.6843496606e-10  3.0944331392e+00  3.1032880263e+00  -3.2139423764e-10  3.0812852015e+00
